"","NAME","sensor_neighborhood","total_neighborhood","sum_sensor","percent"
"1","Abilene, TX",0,146,0,0
"2","Akron, OH",4,561,4,0.71301247771836
"3","Albany, GA",1,120,1,0.833333333333333
"4","Albany, OR",11,89,11,12.3595505617978
"5","Albany-Schenectady-Troy, NY",8,709,8,1.12834978843441
"6","Albuquerque, NM",15,623,19,2.40770465489567
"7","Alexandria, LA",3,122,3,2.45901639344262
"8","Allentown-Bethlehem-Easton, PA-NJ",6,613,7,0.978792822185971
"9","Altoona, PA",1,112,1,0.892857142857143
"10","Amarillo, TX",5,219,5,2.28310502283105
"11","Ames, IA",1,88,1,1.13636363636364
"12","Amherst Town-Northampton, MA",1,108,1,0.925925925925926
"13","Anchorage, AK",11,261,11,4.21455938697318
"14","Ann Arbor, MI",2,308,3,0.649350649350649
"15","Anniston-Oxford, AL",0,107,0,0
"16","Appleton, WI",2,179,2,1.11731843575419
"17","Asheville, NC",5,261,5,1.91570881226054
"18","Athens-Clarke County, GA",1,139,1,0.719424460431655
"19","Atlanta-Sandy Springs-Roswell, GA",26,3950,28,0.658227848101266
"20","Atlantic City-Hammonton, NJ",2,299,3,0.668896321070234
"21","Auburn-Opelika, AL",0,150,0,0
"22","Augusta-Richmond County, GA-SC",6,422,6,1.4218009478673
"23","Austin-Round Rock-San Marcos, TX",9,1297,11,0.693909020817271
"24","Bakersfield-Delano, CA",21,600,25,3.5
"25","Baltimore-Columbia-Towson, MD",17,1989,17,0.854700854700855
"26","Bangor, ME",5,117,6,4.27350427350427
"27","Barnstable Town, MA",1,195,1,0.512820512820513
"28","Baton Rouge, LA",12,593,14,2.02360876897133
"29","Battle Creek, MI",0,121,0,0
"30","Bay City, MI",1,96,1,1.04166666666667
"31","Beaumont-Port Arthur, TX",12,325,14,3.69230769230769
"32","Beckley, WV",1,92,1,1.08695652173913
"33","Bellingham, WA",8,129,9,6.2015503875969
"34","Bend, OR",15,151,18,9.93377483443709
"35","Billings, MT",2,134,2,1.49253731343284
"36","Binghamton, NY",0,242,0,0
"37","Birmingham, AL",27,934,33,2.89079229122056
"38","Bismarck, ND",3,85,3,3.52941176470588
"39","Blacksburg-Christiansburg-Radford, VA",3,134,4,2.23880597014925
"40","Bloomington, IL",1,119,1,0.840336134453782
"41","Bloomington, IN",1,118,1,0.847457627118644
"42","Boise City, ID",19,492,25,3.86178861788618
"43","Boston-Cambridge-Newton, MA-NH",20,3551,20,0.563221627710504
"44","Boulder, CO",10,230,10,4.34782608695652
"45","Bowling Green, KY",4,119,4,3.36134453781513
"46","Bozeman, MT",2,75,3,2.66666666666667
"47","Bremerton-Silverdale-Port Orchard, WA",2,190,2,1.05263157894737
"48","Bridgeport-Stamford-Danbury, CT",10,670,10,1.49253731343284
"49","Brownsville-Harlingen, TX",4,324,4,1.23456790123457
"50","Brunswick-St. Simons, GA",3,93,3,3.2258064516129
"51","Buffalo-Cheektowaga, NY",12,986,12,1.21703853955375
"52","Burlington, NC",0,110,0,0
"53","Burlington-South Burlington, VT",12,165,16,7.27272727272727
"54","Canton-Massillon, OH",6,318,7,1.88679245283019
"55","Cape Coral-Fort Myers, FL",3,578,3,0.519031141868512
"56","Cape Girardeau, MO-IL",2,79,2,2.53164556962025
"57","Carson City, NV",4,45,4,8.88888888888889
"58","Casper, WY",2,56,2,3.57142857142857
"59","Cedar Rapids, IA",2,199,2,1.00502512562814
"60","Chambersburg, PA",1,100,1,1
"61","Champaign-Urbana, IL",3,190,3,1.57894736842105
"62","Charleston, WV",4,197,4,2.03045685279188
"63","Charleston-North Charleston, SC",9,464,11,1.93965517241379
"64","Charlotte-Concord-Gastonia, NC-SC",19,1590,23,1.19496855345912
"65","Charlottesville, VA",1,162,1,0.617283950617284
"66","Chattanooga, TN-GA",7,427,7,1.63934426229508
"67","Cheyenne, WY",2,78,2,2.56410256410256
"68","Chicago-Naperville-Elgin, IL-IN",60,6723,67,0.892458723784025
"69","Chico, CA",5,200,6,2.5
"70","Cincinnati, OH-KY-IN",19,1604,21,1.18453865336658
"71","Clarksville, TN-KY",10,195,16,5.12820512820513
"72","Cleveland, OH",20,1810,22,1.10497237569061
"73","Cleveland, TN",5,72,12,6.94444444444444
"74","Coeur d'Alene, ID",7,100,7,7
"75","College Station-Bryan, TX",2,186,2,1.0752688172043
"76","Colorado Springs, CO",6,484,6,1.2396694214876
"77","Columbia, MO",5,147,8,3.40136054421769
"78","Columbia, SC",7,524,9,1.33587786259542
"79","Columbus, GA-AL",8,225,9,3.55555555555556
"80","Columbus, IN",2,59,2,3.38983050847458
"81","Columbus, OH",10,1473,10,0.678886625933469
"82","Corpus Christi, TX",4,344,5,1.16279069767442
"83","Corvallis, OR",3,67,3,4.47761194029851
"84","Crestview-Fort Walton Beach-Destin, FL",2,181,2,1.10497237569061
"85","Dallas-Fort Worth-Arlington, TX",46,4371,48,1.05239075726378
"86","Dalton, GA",1,105,2,0.952380952380952
"87","Daphne-Fairhope-Foley, AL",1,117,1,0.854700854700855
"88","Davenport-Moline-Rock Island, IA-IL",5,320,5,1.5625
"89","Dayton-Kettering-Beavercreek, OH",4,633,4,0.631911532385466
"90","Decatur, AL",3,119,4,2.52100840336134
"91","Decatur, IL",3,105,4,2.85714285714286
"92","Deltona-Daytona Beach-Ormond Beach, FL",3,401,3,0.748129675810474
"93","Denver-Aurora-Centennial, CO",30,2046,49,1.46627565982405
"94","Des Moines-West Des Moines, IA",4,468,4,0.854700854700855
"95","Detroit-Warren-Dearborn, MI",36,3616,47,0.995575221238938
"96","Dothan, AL",0,113,0,0
"97","Dover, DE",2,101,2,1.98019801980198
"98","Dubuque, IA",0,83,0,0
"99","Duluth, MN-WI",30,278,53,10.7913669064748
"100","Durham-Chapel Hill, NC",4,443,6,0.90293453724605
"101","Eagle Pass, TX",1,37,1,2.7027027027027
"102","Eau Claire, WI",4,122,5,3.27868852459016
"103","El Centro, CA",8,115,9,6.95652173913043
