sensor_index,last_modified,date_created,last_seen,location_type,rssi,uptime,latency,latitude,longitude,altitude
661,1486410056,1481166251,1708525475,0,-65,29862,196,35.302235,-80.94612,null
747,1578087871,1481403302,1707948992,0,-74,21944,437,43.304337,-91.787544,874
765,1613497611,1481407090,1708525391,0,-56,2026,315,35.2532,-80.8579,735
1138,1518734600,1490201478,1708525386,0,-75,27356,271,35.315834,-82.460724,2140
1140,1607201048,1490201657,1708525474,0,-61,56889,359,45.07228,-85.70048,602
1210,1668195158,1490669518,1708525457,0,-78,2550,351,42.523132,-90.65974,654
1334,1524165183,1490813516,1708525376,0,-70,37737,1013,35.053734,-83.188736,3850
1354,1561726571,1490819860,1708525488,0,-72,9837,241,35.2131,-80.165,454
1628,1522087579,1495070304,1708525471,0,-65,23899,763,33.558735,-86.70765,938
1792,1497722627,1497722554,1708525402,0,-75,1425,326,39.187077,-96.58267,null
2293,1687998744,1500418370,1707936845,0,-60,6078,735,41.26233,-81.41484,1033
2301,1705709026,1501266425,1708525381,0,-61,46708,412,32.509113,-94.7108,380
2386,1593531179,1501532274,1708525468,0,-67,39767,483,29.532282,-95.07647,8
2584,1503344653,1501960305,1708525381,0,-49,620,410,39.60047,-83.97358,896
2644,1503356038,1502215389,1708525414,0,-65,47965,209,32.99084,-96.5993,561
2665,1504546131,1502217616,1708525392,0,-70,7666,278,40.7214,-96.645,1315
2667,1503695532,1502218068,1708525375,0,-62,2644,206,32.921513,-97.23024,719
2739,1687952138,1502230463,1708525487,0,-60,20577,571,42.26473,-83.723976,881
2768,1570467865,1502474294,1708525461,0,-64,20769,328,29.408495,-98.4774,650
2796,1625533927,1502732539,1708525394,0,-75,32584,690,30.276873,-97.83731,726
2806,1504652667,1502733048,1708525399,0,-75,25297,294,30.483,-97.8485,984
2814,1503004448,1502733518,1708525371,0,-63,1831,353,42.129665,-83.2874,605
2862,1600552422,1502742437,1708525383,0,-72,67743,411,30.366156,-97.76529,899
2890,1518997323,1502745951,1708525483,0,-76,60363,1946,41.359016,-95.96844,1201
2918,1505518751,1502824285,1708525437,0,-75,10285,2456,34.700687,-86.724464,673
3011,1629033086,1503435921,1708525440,1,-68,1178,350,30.327553,-97.73526,652
3026,1509741098,1503509145,1708525488,0,-69,53522,349,29.943491,-90.06983,6
3033,1504314337,1503509417,1708525461,0,-79,40884,238,29.955063,-95.73739,152
3088,1504993349,1504040633,1708525400,0,-62,26320,295,44.935818,-93.21752,833
3097,1504659282,1504041220,1708463165,0,-70,37,611,42.852356,-96.94241,1185
3118,1605902760,1504041946,1708525435,1,-71,11771,455,38.956104,-84.657425,894
3285,1528061312,1505341171,1708525409,0,-63,37892,244,41.641,-81.179,1094
3298,1506190732,1505341873,1708525440,0,-56,2472,379,29.58335,-95.12009,18
3396,1535303339,1505411639,1708525443,0,-61,30574,305,29.571447,-95.12401,23
3406,1690207178,1505760790,1708525371,0,-61,9177,273,34.56176,-82.65828,759
3457,1506443775,1505939664,1708525417,0,-73,42110,264,33.52022,-82.00053,125
3533,1507574826,1505943310,1708525465,0,-80,11101,411,42.53817,-82.93374,616
3590,1597632334,1505945740,1708525479,0,-76,59948,242,33.5573,-82.2113,355
3627,1507302589,1506971835,1708525383,0,-66,7703,488,42.97234,-88.07793,869
3777,1523123666,1507317354,1708525420,0,-70,44526,236,29.762896,-95.70764,104
3986,1514746142,1508281578,1708525450,0,-73,24539,219,40.433796,-79.87622,1143
4095,1621953200,1509839541,1708525488,0,-62,430,614,35.882195,-84.05043,990
4125,1510338468,1509864664,1708525477,0,-75,55264,380,42.8538,-88.4355,835
4149,1510237196,1509866659,1708525403,0,-61,53084,388,44.04,-92.438,1210
4301,1513698240,1510798410,1708525459,0,-68,2141,18469,29.853832,-96.52854,308
4368,1511112161,1510870776,1708525378,1,-49,59339,313,28.682634,-81.367134,77
4395,1706978831,1510887416,1708525401,0,-63,16727,311,41.99566,-87.69185,596
4404,1620397947,1510887471,1708525393,0,-57,13703,253,42.02362,-87.76341,622
4419,1520275421,1510887612,1708525463,0,-64,53599,232,34.71712,-83.9804,3072
4447,1559758551,1510956348,1708525413,0,-74,41653,471,43.092113,-89.34279,876
4529,1512337007,1510978534,1708525459,0,-67,40635,408,40.636173,-80.09352,1226
4531,1512255103,1510978547,1708525403,0,-46,24318,212,40.384525,-80.047935,1134
4573,1512066217,1511305948,1708525453,0,-78,28679,250,29.65015,-82.49259,94
4780,1675284392,1511407629,1708525484,0,-57,17254,266,37.750248,-97.24719,1380
4968,1513978168,1511565380,1708525405,0,-56,57570,297,40.02499,-83.039246,772
5268,1590421337,1513118137,1708525476,0,-75,2448,215,34.25548,-84.042725,1209
