sensor_index,last_modified,date_created,last_seen,location_type,rssi,uptime,latency,altitude,NAME,geometry,
661,1486410056,1481166251,1708525475,0,-65,497.7,196,null,"Charlotte-Concord-Gastonia, NC-SC",c(-80.94612, 35.302235)
765,1613497611,1481407090,1708525391,0,-56,33.77,315,735,"Charlotte-Concord-Gastonia, NC-SC",c(-80.8579, 35.2532)
1138,1518734600,1490201478,1708525386,0,-75,455.93,271,2140,"Asheville, NC",c(-82.460724, 35.315834)
1140,1607201048,1490201657,1708525474,0,-61,948.15,359,602,"Traverse City, MI",c(-85.70048, 45.07228)
1210,1668195158,1490669518,1708525457,0,-78,42.5,351,654,"Dubuque, IA",c(-90.65974, 42.523132)
1628,1522087579,1495070304,1708525471,0,-65,398.32,763,938,"Birmingham, AL",c(-86.70765, 33.558735)
1792,1497722627,1497722554,1708525402,0,-75,23.75,326,null,"Manhattan, KS",c(-96.58267, 39.187077)
2293,1687998744,1500418370,1707936845,0,-60,101.3,735,1033,"Akron, OH",c(-81.41484, 41.26233)
2301,1705709026,1501266425,1708525381,0,-61,778.47,412,380,"Longview, TX",c(-94.7108, 32.509113)
2386,1593531179,1501532274,1708525468,0,-67,662.78,483,8,"Houston-Pasadena-The Woodlands, TX",c(-95.07647, 29.532282)
2584,1503344653,1501960305,1708525381,0,-49,10.33,410,896,"Dayton-Kettering-Beavercreek, OH",c(-83.97358, 39.60047)
2644,1503356038,1502215389,1708525414,0,-65,799.42,209,561,"Dallas-Fort Worth-Arlington, TX",c(-96.5993, 32.99084)
2665,1504546131,1502217616,1708525392,0,-70,127.77,278,1315,"Lincoln, NE",c(-96.645, 40.7214)
2667,1503695532,1502218068,1708525375,0,-62,44.07,206,719,"Dallas-Fort Worth-Arlington, TX",c(-97.23024, 32.921513)
2739,1687952138,1502230463,1708525487,0,-60,342.95,571,881,"Ann Arbor, MI",c(-83.723976, 42.26473)
2768,1570467865,1502474294,1708525461,0,-64,346.15,328,650,"San Antonio-New Braunfels, TX",c(-98.4774, 29.408495)
2796,1625533927,1502732539,1708525394,0,-75,543.07,690,726,"Austin-Round Rock-San Marcos, TX",c(-97.83731, 30.276873)
2806,1504652667,1502733048,1708525399,0,-75,421.62,294,984,"Austin-Round Rock-San Marcos, TX",c(-97.8485, 30.483)
2814,1503004448,1502733518,1708525371,0,-63,30.52,353,605,"Detroit-Warren-Dearborn, MI",c(-83.2874, 42.129665)
2862,1600552422,1502742437,1708525383,0,-72,1129.05,411,899,"Austin-Round Rock-San Marcos, TX",c(-97.76529, 30.366156)
2890,1518997323,1502745951,1708525483,0,-76,1006.05,1946,1201,"Omaha, NE-IA",c(-95.96844, 41.359016)
2918,1505518751,1502824285,1708525437,0,-75,171.42,2456,673,"Huntsville, AL",c(-86.724464, 34.700687)
3011,1629033086,1503435921,1708525440,1,-68,19.63,350,652,"Austin-Round Rock-San Marcos, TX",c(-97.73526, 30.327553)
3026,1509741098,1503509145,1708525488,0,-69,892.03,349,6,"New Orleans-Metairie, LA",c(-90.06983, 29.943491)
3033,1504314337,1503509417,1708525461,0,-79,681.4,238,152,"Houston-Pasadena-The Woodlands, TX",c(-95.73739, 29.955063)
3088,1504993349,1504040633,1708525400,0,-62,438.67,295,833,"Minneapolis-St. Paul-Bloomington, MN-WI",c(-93.21752, 44.935818)
3118,1605902760,1504041946,1708525435,1,-71,196.18,455,894,"Cincinnati, OH-KY-IN",c(-84.657425, 38.956104)
3285,1528061312,1505341171,1708525409,0,-63,631.53,244,1094,"Cleveland, OH",c(-81.179, 41.641)
3298,1506190732,1505341873,1708525440,0,-56,41.2,379,18,"Houston-Pasadena-The Woodlands, TX",c(-95.12009, 29.58335)
3396,1535303339,1505411639,1708525443,0,-61,509.57,305,23,"Houston-Pasadena-The Woodlands, TX",c(-95.12401, 29.571447)
