city,coeff,SE,p
Santa Rosa,-4.86E-04,9.79E-05,1.3e-06 ***
Santa Cruz,-1.22E-04,9.22E-05,0.188
Bend,7.62E-06,8.83E-05,0.934
San Francisco,-1.40E-04,1.52E-05,<2e-16 ***
Redding,-1.19E-04,5.65E-05,0.0385 *
San Jose,-3.65E-04,3.32E-05,< 2e-16 ***
Bellingham,9.28E-06,4.18E-05,0.825519
Napa,-4.25E-04,1.13E-04,0.000342 ***
Grand Junction,-3.74E-05,6.22E-05,0.549
Boulder,-4.39E-04,1.46E-04,0.00305 **
Eugene,-5.30E-05,4.20E-05,0.209
Medford,-2.21E-04,4.50E-05,3.88e-06 ***
Sacramento,-1.37E-04,2.27E-05,2.54e-09 ***
