"","NAME","New_category","city_category"
"1","Albuquerque, NM","Education Services",7
"2","Albuquerque, NM","Health and Social Care",7
"3","Athens-Clarke County, GA","Education Services",14
"4","Atlanta-Sandy Springs-Roswell, GA","Education Services",42
"5","Atlanta-Sandy Springs-Roswell, GA","Food and Accommodation",19
"6","Atlanta-Sandy Springs-Roswell, GA","Health and Social Care",4
"7","Atlanta-Sandy Springs-Roswell, GA","Real Estate and Rental Services",7
"8","Austin-Round Rock-San Marcos, TX","Arts, Entertainment, and Recreation",20
"9","Austin-Round Rock-San Marcos, TX","Manufacturing",26
"10","Austin-Round Rock-San Marcos, TX","Professional and Technical Services",14
"11","Austin-Round Rock-San Marcos, TX","Real Estate and Rental Services",14
"12","Bakersfield-Delano, CA","Arts, Entertainment, and Recreation",7
"13","Baltimore-Columbia-Towson, MD","Arts, Entertainment, and Recreation",22
"14","Baltimore-Columbia-Towson, MD","Food and Accommodation",74
"15","Baltimore-Columbia-Towson, MD","Health and Social Care",88
"16","Baltimore-Columbia-Towson, MD","Manufacturing",7
"17","Baltimore-Columbia-Towson, MD","Miscellaneous Services",2
"18","Baltimore-Columbia-Towson, MD","Personal Services",14
"19","Baltimore-Columbia-Towson, MD","Professional and Technical Services",324
"20","Baltimore-Columbia-Towson, MD","Real Estate and Rental Services",46
"21","Baltimore-Columbia-Towson, MD","Retail and Wholesale",14
"22","Baltimore-Columbia-Towson, MD","Transportation and Logistics",7
"23","Bend, OR","Arts, Entertainment, and Recreation",7
"24","Bend, OR","Education Services",12
"25","Bend, OR","Financial Services",42
"26","Bend, OR","Food and Accommodation",9
"27","Bend, OR","Health and Social Care",274
"28","Bend, OR","Information and Communication",36
"29","Bend, OR","Manufacturing",21
"30","Bend, OR","Miscellaneous Services",14
"31","Bend, OR","Personal Services",2
"32","Bend, OR","Professional and Technical Services",6
"33","Bend, OR","Public Administration and Defense",2
"34","Bend, OR","Real Estate and Rental Services",88
"35","Bend, OR","Retail and Wholesale",13
"36","Bend, OR","Transportation and Logistics",69
"37","Blacksburg-Christiansburg-Radford, VA","Education Services",28
"38","Blacksburg-Christiansburg-Radford, VA","Health and Social Care",302
"39","Blacksburg-Christiansburg-Radford, VA","Miscellaneous Services",2
"40","Blacksburg-Christiansburg-Radford, VA","Personal Services",2
"41","Boise City, ID","Health and Social Care",7
"42","Boise City, ID","Professional and Technical Services",3
"43","Boston-Cambridge-Newton, MA-NH","Arts, Entertainment, and Recreation",1
"44","Boston-Cambridge-Newton, MA-NH","Health and Social Care",26
"45","Boston-Cambridge-Newton, MA-NH","Professional and Technical Services",1
"46","Boston-Cambridge-Newton, MA-NH","Real Estate and Rental Services",72
"47","Boulder, CO","Arts, Entertainment, and Recreation",7
"48","Boulder, CO","Education Services",7
"49","Boulder, CO","Health and Social Care",1
"50","Boulder, CO","Manufacturing",5
"51","Boulder, CO","Real Estate and Rental Services",7
"52","Bridgeport-Stamford-Danbury, CT","Financial Services",7
"53","Bridgeport-Stamford-Danbury, CT","Food and Accommodation",74
"54","Bridgeport-Stamford-Danbury, CT","Health and Social Care",34
"55","Bridgeport-Stamford-Danbury, CT","Miscellaneous Services",9
"56","Bridgeport-Stamford-Danbury, CT","Personal Services",15
"57","Bridgeport-Stamford-Danbury, CT","Professional and Technical Services",36
"58","Bridgeport-Stamford-Danbury, CT","Real Estate and Rental Services",8
"59","Bridgeport-Stamford-Danbury, CT","Retail and Wholesale",7
"60","Bridgeport-Stamford-Danbury, CT","Transportation and Logistics",7
"61","Chicago-Naperville-Elgin, IL-IN","Arts, Entertainment, and Recreation",34
"62","Chicago-Naperville-Elgin, IL-IN","Education Services",83
"63","Chicago-Naperville-Elgin, IL-IN","Financial Services",4
"64","Chicago-Naperville-Elgin, IL-IN","Health and Social Care",17
"65","Chicago-Naperville-Elgin, IL-IN","Miscellaneous Services",14
"66","Chicago-Naperville-Elgin, IL-IN","Personal Services",1
"67","Chicago-Naperville-Elgin, IL-IN","Real Estate and Rental Services",81
"68","Cincinnati, OH-KY-IN","Arts, Entertainment, and Recreation",7
"69","Cincinnati, OH-KY-IN","Financial Services",7
"70","Cincinnati, OH-KY-IN","Health and Social Care",14
"71","Cincinnati, OH-KY-IN","Miscellaneous Services",7
"72","Cleveland, OH","Arts, Entertainment, and Recreation",10
"73","Cleveland, OH","Education Services",56
"74","Cleveland, OH","Health and Social Care",14
"75","Cleveland, OH","Personal Services",8
"76","College Station-Bryan, TX","Real Estate and Rental Services",14
"77","Columbus, OH","Arts, Entertainment, and Recreation",14
"78","Corvallis, OR","Arts, Entertainment, and Recreation",7
"79","Corvallis, OR","Real Estate and Rental Services",7
"80","Dallas-Fort Worth-Arlington, TX","Health and Social Care",7
"81","Dallas-Fort Worth-Arlington, TX","Real Estate and Rental Services",20
"82","Denver-Aurora-Centennial, CO","Arts, Entertainment, and Recreation",7
"83","Denver-Aurora-Centennial, CO","Real Estate and Rental Services",7
"84","Detroit-Warren-Dearborn, MI","Arts, Entertainment, and Recreation",8
"85","Detroit-Warren-Dearborn, MI","Construction and Engineering",14
"86","Detroit-Warren-Dearborn, MI","Education Services",32
"87","Detroit-Warren-Dearborn, MI","Financial Services",8
"88","Detroit-Warren-Dearborn, MI","Food and Accommodation",14
"89","Detroit-Warren-Dearborn, MI","Health and Social Care",68
"90","Detroit-Warren-Dearborn, MI","Personal Services",14
"91","Detroit-Warren-Dearborn, MI","Retail and Wholesale",12
"92","Detroit-Warren-Dearborn, MI","Transportation and Logistics",12
"93","Durham-Chapel Hill, NC","Arts, Entertainment, and Recreation",6
"94","Eugene-Springfield, OR","Arts, Entertainment, and Recreation",7
"95","Eugene-Springfield, OR","Education Services",146
"96","Eugene-Springfield, OR","Financial Services",7
"97","Eugene-Springfield, OR","Food and Accommodation",76
"98","Eugene-Springfield, OR","Health and Social Care",24
"99","Eugene-Springfield, OR","Manufacturing",7
"100","Eugene-Springfield, OR","Miscellaneous Services",7
"101","Eugene-Springfield, OR","Public Administration and Defense",5
"102","Eugene-Springfield, OR","Real Estate and Rental Services",14
"103","Eugene-Springfield, OR","Retail and Wholesale",8
"104","Eugene-Springfield, OR","Transportation and Logistics",14
"105","Fort Collins-Loveland, CO","Arts, Entertainment, and Recreation",6
"106","Fresno, CA","Construction and Engineering",2
"107","Fresno, CA","Education Services",7
"108","Fresno, CA","Food and Accommodation",23
"109","Fresno, CA","Health and Social Care",14
"110","Fresno, CA","Personal Services",8
